214,285,286,-167,-163,-168,-141,6
215,286,229,-168,-141,-160,-142,6
219,306,297,55,-41,83,-41,293
220,307,303,55,36,83,35,293
221,298,302,133,-16,133,10,309
227,314,315,56,-90,55,73,293
238,326,327,168,-90,133,-90,290
239,327,314,133,-90,56,-90,290
240,327,296,133,-90,133,-66,329
243,326,328,168,-90,237,-91,290
244,328,322,237,-91,237,-27,331
245,331,332,237,-37,266,-37,290
246,328,333,237,-91,266,-92,290
247,333,334,266,-92,266,74,290
256,337,315,168,73,55,73,290
257,337,334,168,73,266,74,290
260,326,337,168,-90,168,73,290
261,304,339,133,60,153,59,290
262,339,340,153,59,152,-2,290
263,340,323,152,-2,187,-2,290
286,391,392,168,-212,168,-189,379
287,392,382,168,-189,153,-189,393
288,392,385,168,-189,232,-189,394
289,384,395,153,-140,153,-132,379
290,395,405,153,-132,232,-130,379
291,387,405,232,-140,232,-130,379
292,405,406,232,-130,248,-130,379
293,406,408,248,-130,248,-165,379
294,408,390,248,-165,265,-164,379
295,389,409,67,-141,87,-141,379
296,409,410,87,-141,87,-122,379
297,410,411,87,-122,183,-122,379
298,411,386,183,-122,182,-164,379
299,388,412,67,-189,103,-188,379
300,412,383,103,-188,103,-164,379
301,391,413,168,-212,68,-212,379
302,413,414,68,-212,67,-113,379
303,391,416,168,-212,265,-212,379
305,414,415,67,-113,264,-113,379
373,510,501,292,-142,320,-142,497
374,511,507,292,-65,320,-66,497
375,502,506,370,-117,370,-91,513
376,508,514,370,-41,382,-40,497
377,514,515,382,-40,382,-103,497
379,516,500,370,-191,370,-167,517
380,516,518,370,-191,293,-191,497
381,518,519,293,-191,292,-28,497
387,519,524,292,-28,404,-27,497
388,515,522,382,-103,404,-103,497
389,516,525,370,-191,405,-191,497
390,525,524,405,-191,404,-27,497
396,538,539,236,-234,35,-233,287
397,539,540,35,-233,35,85,287
398,540,541,35,85,427,86,287
399,538,542,236,-234,427,-235,287
400,542,541,427,-235,427,86,287
401,522,537,404,-103,427,-103,287
402,538,543,236,-234,235,-222,287
403,543,544,235,-222,168,-222,287
404,544,391,168,-222,168,-212,287
405,543,546,235,-222,279,-221,287
407,547,549,278,-101,168,-101,287
408,549,326,168,-101,168,-90,287
409,546,545,279,-221,369,-221,287
410,545,516,369,-221,370,-191,287
411,536,561,35,-79,48,-79,287
412,561,562,48,-79,49,-140,287
413,562,389,49,-140,67,-141,287
414,561,558,48,-79,47,36,287
415,558,307,47,36,55,36,287
416,555,306,43,-41,55,-41,287
417,535,550,35,-122,44,-122,287
418,550,555,44,-122,43,-41,287
419,550,551,44,-122,44,-189,287
420,551,388,44,-189,67,-189,287
421,332,563,266,-37,279,-38,287
422,563,564,279,-38,279,-65,287
423,564,511,279,-65,292,-65,287
425,416,415,265,-212,264,-113,287
426,546,547,279,-221,278,-101,287
427,390,566,265,-164,285,-163,287
428,566,567,285,-163,284,-141,287
429,567,510,284,-141,292,-142,287
431,584,575,-404,155,-376,155,571
432,585,581,-404,232,-376,231,571
433,576,580,-326,180,-326,206,587
